industry_category,id,name
ETF,0050,元大台灣50
ETF,0051,元大中型100
ETF,0052,富邦科技
ETF,0053,元大電子
ETF,0054,元大台商50
ETF,0055,元大MSCI金融
ETF,0056,元大高股息
ETF,0057,富邦摩台
ETF,0058,富邦發達
ETF,0059,富邦金融
ETF,0060,新台灣
ETF,0061,元大寶滬深
ETF,0080,恒中國
ETF,0081,恒香港
ETF,00636,國泰中國A50
ETF,00639,富邦深100
ETF,00643,群益深証中小
ETF,00645,富邦日本
ETF,00646,元大S&P500
ETF,00649,FH香港
ETF,00652,富邦印度
ETF,00657,國泰日經225
ETF,00660,元大歐洲50
ETF,00661,元大日經225
ETF,00662,富邦NASDAQ
ETF,00667,元大韓國
ETF,00668,國泰美國道瓊
ETF,00678,群益那斯達克生技
ETF,00690,兆豐藍籌30
ETF,00692,富邦公司治理
ETF,00700,富邦恒生國企
ETF,00701,國泰股利精選30
ETF,00702,國泰標普低波高息
ETF,00703,台新MSCI中國
ETF,00709,富邦歐洲
ETF,00712,復華富時不動產
ETF,00713,元大台灣高息低波
ETF,00714,群益道瓊美國地產
ETF,00717,富邦美國特別股
ETF,00728,第一金工業30
ETF,00730,富邦臺灣優質高息
ETF,00731,復華富時高息低波
ETF,00732,國泰RMB短期報酬
ETF,00733,富邦臺灣中小
ETF,00735,國泰臺韓科技
ETF,00736,國泰新興市場
ETF,00737,國泰AI機器人
ETF,00739,元大MSCI A股
ETF,00742,新光內需收益
ETF,00743,國泰中國A150
ETF,00752,中信中國50
ETF,00757,統一FANG+
ETF,00762,元大全球AI
ETF,00767,FH美國金融股
ETF,00770,國泰北美科技
ETF,00771,元大US高息特別股
ETF,00776,新光ICE美國權值
ETF,00783,富邦中証500
ETF,00830,國泰費城半導體
ETF,00850,元大臺灣ESG永續
ETF,00851,台新全球AI
上櫃指數股票型基金(ETF),00858,永豐美國500大
上櫃ETF,00858,永豐美國500大
ETF,00861,元大全球未來通訊
ETF,00866,新光Shiller CAPE
ETF,00875,國泰網路資安
ETF,00876,元大全球5G
上櫃指數股票型基金(ETF),00877,復華中國5G
上櫃ETF,00877,復華中國5G
ETF,00878,國泰永續高股息
ETF,00881,國泰台灣科技龍頭
ETF,00882,中信中國高股息
ETF,00885,富邦越南
上櫃指數股票型基金(ETF),00886,永豐美國科技
上櫃ETF,00886,永豐美國科技
上櫃指數股票型基金(ETF),00887,永豐中國科技50大
上櫃ETF,00887,永豐中國科技50大
上櫃指數股票型基金(ETF),00888,永豐台灣ESG
上櫃ETF,00888,永豐台灣ESG
ETF,00891,中信關鍵半導體
ETF,00892,富邦台灣半導體
ETF,00893,國泰智能電動車
ETF,00894,中信小資高價30
ETF,00895,富邦未來車
ETF,00896,中信綠能及電動車
ETF,00897,富邦基因免疫生技
ETF,00898,國泰基因免疫革命
ETF,00899,FT潔淨能源
ETF,00900,富邦特選高股息30
ETF,00901,永豐智能車供應鏈
ETF,00902,中信電池及儲能
ETF,00903,富邦元宇宙
ETF,00904,新光臺灣半導體30
ETF,00905,FT臺灣Smart
ETF,00906,大華元宇宙科技50
ETF,00907,永豐優息存股
ETF,00908,富邦入息REITs+
ETF,00909,國泰數位支付服務
ETF,00910,第一金太空衛星
ETF,00911,兆豐洲際半導體
ETF,00912,中信臺灣智慧50
ETF,00913,兆豐台灣晶圓製造
ETF,00915,凱基優選高股息30
ETF,00916,國泰全球品牌50
ETF,00917,中信特選金融
ETF,00918,大華優利高填息30
ETF,00919,群益台灣精選高息
ETF,00920,富邦ESG綠色電力
ETF,00921,兆豐龍頭等權重
ETF,00922,國泰台灣領袖50
ETF,00923,群益台ESG低碳50
ETF,00924,復華S&P500成長
ETF,00925,新光標普電動車
ETF,00926,凱基全球菁英55
ETF,00927,群益半導體收益
上櫃指數股票型基金(ETF),00928,中信上櫃ESG 30
上櫃ETF,00928,中信上櫃ESG 30
ETF,00929,復華台灣科技優息
ETF,00930,永豐ESG低碳高息
ETF,00932,兆豐永續高息等權
ETF,00934,中信成長高股息
ETF,00935,野村臺灣新科技50
ETF,00936,台新永續高息中小
ETF,00938,凱基優選30
ETF,00939,統一台灣高息動能
ETF,00940,元大台灣價值高息
ETF,00941,中信上游半導體
ETF,00943,兆豐電子高息等權
ETF,00944,野村趨勢動能高息
ETF,00946,群益科技高息成長
ETF,00947,台新臺灣IC設計
ETF,00949,復華日本龍頭
ETF,00951,台新日本半導體
ETF,00952,凱基台灣AI50
ETF,00954,中信日本半導體
上櫃指數股票型基金(ETF),00955,中信日本商社
上櫃ETF,00955,中信日本商社
ETF,00956,中信日經高股息
ETF,00960,野村全球航運龍頭
ETF,00961,FT臺灣永續高息
